Unnamed: 0,ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntCoke,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,tanggal_dummy,Usia,Is_Couple,Is_SMA,Anak,cmp_masuk,Spent,deals_rate,conversion_rate,rentang
501,501,10623,1961,S2,Bertunangan,48330000.0,0,1,2013-11-15,2,28000,0,4000,0,0,0,1,1,0,3,5,0,0,0,0,0,0,3,11,0,2013-11-17,53,1,0,1,0,32000,0.2,0.16666666666666666,Tua
502,502,8151,1990,SMA,Menikah,24279000.0,0,0,2012-12-29,6,16000,36000,21000,20000,62000,108000,1,4,1,3,8,0,0,0,0,0,0,3,11,0,2013-01-04,24,1,1,0,0,263000,0.1111111111111111,0.3333333333333333,Muda
503,503,5140,1985,S3,Menikah,64355000.0,1,0,2012-08-24,66,1047000,0,140000,67000,38000,153000,2,4,3,12,8,0,0,0,0,0,0,3,11,0,2012-10-29,29,1,0,1,0,1445000,0.09523809523809523,0.3333333333333333,Muda
504,504,10160,1956,S2,Bertunangan,50943000.0,0,1,2013-06-21,49,31000,0,7000,2000,0,6000,1,1,0,3,5,0,0,0,0,0,0,3,11,0,2013-08-09,58,1,0,1,0,46000,0.2,0.16666666666666666,Lansia
505,505,4945,1953,S1,Janda,53653000.0,0,0,2012-11-07,29,815000,10000,239000,28000,10000,108000,2,10,4,12,6,0,0,0,0,0,0,3,11,0,2012-12-06,61,0,0,0,0,1210000,0.07142857142857142,0.625,Lansia
506,506,10584,1976,S1,Menikah,65665000.0,0,1,2013-12-02,77,225000,162000,387000,106000,36000,29000,1,5,10,8,3,0,0,0,0,0,0,3,11,0,2014-02-17,38,1,0,1,0,945000,0.041666666666666664,0.625,Tua
507,507,6071,1989,S1,Lajang,81217000.0,0,0,2013-07-19,77,493000,70000,324000,146000,40000,84000,1,3,7,11,1,0,0,0,0,0,0,3,11,0,2013-10-04,25,0,0,0,0,1157000,0.045454545454545456,0.75,Muda
508,508,3386,1992,S1,Menikah,34935000.0,0,0,2013-06-21,71,34000,4000,66000,3000,10000,20000,1,2,1,4,7,0,0,0,0,0,0,3,11,0,2013-08-31,22,1,0,0,0,137000,0.125,0.2222222222222222,Muda
509,509,8939,1959,S1,Cerai,61250000.0,0,1,2012-12-16,49,382000,138000,65000,60000,26000,59000,6,5,2,12,5,0,0,0,0,0,0,3,11,0,2013-02-03,55,0,0,1,0,730000,0.24,0.5,Tua
510,510,9925,1981,S3,Bertunangan,39665000.0,1,0,2013-05-25,97,127000,1000,56000,0,1000,31000,3,4,2,3,7,1,0,0,0,0,0,3,11,0,2013-08-30,33,1,0,1,1,216000,0.25,0.36363636363636365,Tua
511,511,4320,1979,S1,Lajang,60152000.0,0,1,2013-03-28,6,325000,83000,300000,86000,58000,91000,1,6,4,12,3,0,0,0,0,0,0,3,11,0,2013-04-03,35,0,0,1,0,943000,0.043478260869565216,0.6666666666666666,Tua
512,512,5389,1964,S1,Menikah,48920000.0,0,2,2013-10-20,93,238000,17000,68000,8000,10000,6000,3,6,2,5,7,0,1,0,0,0,0,3,11,0,2014-01-21,50,1,0,2,1,347000,0.1875,0.46153846153846156,Tua
513,513,6036,1959,S2,Bertunangan,89120000.0,0,0,2014-03-17,78,1168000,92000,408000,72000,129000,55000,1,5,6,7,1,0,0,1,0,0,0,3,11,0,2014-06-03,55,1,0,0,1,1924000,0.05263157894736842,0.8333333333333334,Tua
514,514,182,1946,S3,Bertunangan,44124000.0,0,1,2013-05-11,62,284000,0,55000,0,6000,52000,4,6,2,5,8,0,0,0,0,0,0,3,11,0,2013-07-12,68,1,0,1,0,397000,0.23529411764705882,0.42857142857142855,Lansia
515,515,203,1975,S2,Lajang,81169000.0,0,0,2013-04-14,47,1288000,20000,613000,80000,61000,27000,1,5,7,9,2,0,0,0,0,0,0,3,11,0,2013-05-31,39,0,0,0,0,2089000,0.045454545454545456,0.7142857142857143,Tua
516,516,11025,1961,S1,Menikah,36443000.0,1,1,2013-02-03,9,65000,0,46000,4000,3000,20000,4,3,1,3,8,0,0,0,0,0,0,3,11,0,2013-02-12,53,1,0,2,0,138000,0.36363636363636365,0.2727272727272727,Tua
517,517,10203,1990,S1,Lajang,26095000.0,1,0,2013-06-30,77,11000,7000,9000,3000,1000,11000,1,1,0,3,7,0,0,0,0,0,0,3,11,0,2013-09-15,24,0,0,1,0,42000,0.2,0.125,Muda
518,518,4607,1959,S1,Bertunangan,71367000.0,0,0,2013-08-23,24,227000,23000,389000,42000,21000,75000,1,4,5,7,2,0,0,0,0,0,0,3,11,0,2013-09-16,55,1,0,0,0,777000,0.058823529411764705,0.6666666666666666,Tua
519,519,3711,1944,S2,Menikah,80184000.0,0,0,2014-03-01,19,1035000,134000,670000,25000,38000,0,1,6,3,10,3,0,0,1,1,0,0,3,11,0,2014-03-20,70,1,0,0,2,1902000,0.05,0.6666666666666666,Lansia
520,520,3696,1965,S1,Cerai,30630000.0,1,1,2014-01-27,67,27000,1000,12000,2000,0,10000,2,2,0,3,7,0,0,0,0,0,0,3,11,0,2014-04-04,49,0,0,2,0,52000,0.2857142857142857,0.2222222222222222,Tua
521,521,2532,1987,S2,Lajang,73454000.0,0,0,2014-03-01,95,982000,73000,351000,56000,14000,175000,1,2,4,6,5,1,0,0,0,0,0,3,11,0,2014-06-04,27,0,0,0,1,1651000,0.07692307692307693,0.2857142857142857,Muda
522,522,9214,1991,S1,Menikah,42691000.0,0,0,2013-08-16,48,179000,2000,64000,38000,17000,58000,1,5,1,6,5,0,0,0,0,0,0,3,11,0,2013-10-03,23,1,0,0,0,358000,0.07692307692307693,0.5,Muda
523,523,4943,1953,S1,Menikah,70503000.0,0,0,2012-09-30,73,1379000,33000,216000,0,33000,66000,1,2,4,9,6,0,1,1,0,0,0,3,11,0,2012-12-12,61,1,0,0,2,1727000,0.0625,0.25,Lansia
524,524,35,1987,S1,Menikah,25545000.0,1,0,2012-09-08,35,32000,1000,64000,16000,12000,85000,3,2,2,3,6,0,0,0,0,0,0,3,11,1,2012-10-13,27,1,0,1,0,210000,0.3,0.25,Muda
525,525,2258,1986,S1,Menikah,32880000.0,1,0,2012-12-04,76,8000,4000,15000,7000,6000,2000,1,1,0,3,8,0,0,0,0,0,0,3,11,0,2013-02-18,28,1,0,1,0,42000,0.2,0.1111111111111111,Muda
526,526,4322,1958,S3,Bertunangan,77863000.0,0,0,2013-11-27,20,881000,38000,319000,16000,25000,12000,1,4,5,10,2,0,0,0,0,0,0,3,11,0,2013-12-17,56,1,0,0,0,1291000,0.05,0.6666666666666666,Lansia
527,527,713,1977,S2,Menikah,50353000.0,0,0,2014-06-08,72,141000,15000,153000,67000,31000,35000,1,4,4,6,3,0,0,0,0,0,0,3,11,0,2014-08-19,37,1,0,0,0,442000,0.06666666666666667,0.5714285714285714,Tua
528,528,4702,1964,S1,Lajang,61839000.0,0,0,2012-08-12,20,1000000,155000,379000,224000,17000,120000,1,4,8,4,8,0,0,0,0,0,0,3,11,0,2012-09-01,50,0,0,0,0,1895000,0.058823529411764705,0.3333333333333333,Tua
529,529,3281,1960,S3,Menikah,49154000.0,1,1,2013-11-03,69,206000,10000,67000,30000,27000,71000,6,4,1,8,6,0,0,0,0,0,0,3,11,0,2014-01-11,54,1,0,2,0,411000,0.3157894736842105,0.4,Tua
530,530,702,1975,D3,Janda,47682000.0,0,1,2013-02-15,80,162000,61000,83000,97000,57000,61000,4,4,3,8,5,0,0,0,0,0,0,3,11,0,2013-05-06,39,0,0,1,0,521000,0.21052631578947367,0.4444444444444444,Tua
531,531,2004,1969,S1,Lajang,72679000.0,0,1,2013-09-18,65,619000,54000,260000,127000,54000,54000,1,4,7,5,1,0,0,0,0,0,0,3,11,0,2013-11-22,45,0,0,1,0,1168000,0.058823529411764705,0.8,Tua
532,532,4769,1977,S2,Bertunangan,57954000.0,1,1,2014-06-18,52,456000,4000,24000,0,0,9000,7,8,2,6,7,0,1,0,0,0,0,3,11,0,2014-08-09,37,1,0,2,1,493000,0.30434782608695654,0.5333333333333333,Tua
533,533,4437,1962,S1,Menikah,65316000.0,1,1,2013-04-24,65,112000,6000,92000,3000,9000,38000,2,3,2,5,4,0,0,0,0,0,0,3,11,0,2013-06-28,52,1,0,2,0,260000,0.16666666666666666,0.42857142857142855,Tua
534,534,8724,1982,S1,Lajang,28567000.0,1,0,2013-06-17,57,11000,3000,22000,2000,2000,6000,2,2,0,3,6,0,0,0,0,0,0,3,11,0,2013-08-13,32,0,0,1,0,46000,0.2857142857142857,0.25,Tua
535,535,10741,1951,S2,Bertunangan,47352000.0,0,1,2013-04-11,70,172000,12000,112000,8000,0,15000,4,6,1,5,7,0,0,0,0,0,0,3,11,0,2013-06-20,63,1,0,1,0,319000,0.25,0.46153846153846156,Lansia
536,536,1991,1967,S1,Bertunangan,44931000.0,0,1,2014-01-18,0,78000,0,11000,0,0,7000,1,2,1,3,5,0,0,0,0,0,0,3,11,0,2014-01-18,47,1,0,1,0,96000,0.14285714285714285,0.2857142857142857,Tua
537,537,6931,1967,S1,Cerai,76982000.0,0,0,2014-02-15,19,464000,151000,292000,65000,60000,30000,1,8,3,4,4,0,0,1,0,0,0,3,11,1,2014-03-06,47,0,0,0,1,1062000,0.0625,0.6666666666666666,Tua
538,538,11096,1952,D3,Bertunangan,57247000.0,0,1,2013-08-08,50,99000,4000,32000,37000,54000,6000,2,2,1,7,2,0,0,0,0,0,0,3,11,0,2013-09-27,62,1,0,1,0,232000,0.16666666666666666,0.5,Lansia
539,539,304,1981,S2,Lajang,22944000.0,1,0,2013-12-23,67,19000,3000,19000,4000,5000,26000,3,3,0,3,7,0,0,0,0,0,0,3,11,0,2014-02-28,33,0,0,1,0,76000,0.3333333333333333,0.3,Tua
540,540,3665,1977,D3,Bertunangan,25315000.0,1,0,2013-11-07,46,1000,9000,8000,11000,3000,22000,3,3,0,3,8,0,0,0,0,0,0,3,11,0,2013-12-23,37,1,0,1,0,54000,0.3333333333333333,0.2727272727272727,Tua
541,541,10591,1969,S1,Janda,43638000.0,0,1,2012-08-06,37,63000,10000,83000,7000,19000,19000,2,4,1,4,7,0,0,0,0,0,0,3,11,0,2012-09-12,45,0,0,1,0,201000,0.18181818181818182,0.36363636363636365,Tua
542,542,5036,1984,S3,Lajang,42710000.0,1,0,2012-11-28,38,252000,3000,42000,4000,3000,102000,2,4,5,3,6,0,0,0,0,0,0,3,11,0,2013-01-05,30,0,0,1,0,406000,0.14285714285714285,0.4,Muda
543,543,5547,1982,S3,Menikah,84169000.0,0,0,2013-08-07,9,1478000,19000,403000,0,19000,0,1,7,6,6,3,0,1,1,0,0,0,3,11,1,2013-08-16,32,1,0,0,2,1919000,0.05,0.7,Tua
544,544,7822,1976,S1,Bertunangan,54058000.0,0,1,2013-06-04,56,198000,18000,252000,32000,108000,54000,2,4,6,8,3,0,0,0,0,0,0,3,11,0,2013-07-30,38,1,0,1,0,662000,0.1,0.5714285714285714,Tua
545,545,8541,1990,D3,Menikah,24683000.0,1,0,2014-03-08,98,8000,4000,10000,6000,7000,6000,2,2,0,4,5,0,0,0,0,0,0,3,11,0,2014-06-14,24,1,0,1,0,41000,0.25,0.2857142857142857,Muda
546,546,10955,1964,S1,Janda,85620000.0,0,0,2014-01-07,68,416000,46000,925000,60000,107000,46000,1,3,6,4,1,0,0,0,0,0,0,3,11,1,2014-03-16,50,0,0,0,0,1600000,0.07142857142857142,0.75,Tua
547,547,4368,1980,S1,Menikah,47850000.0,1,0,2013-12-03,72,42000,7000,43000,20000,12000,10000,1,3,0,4,6,0,0,0,0,0,0,3,11,0,2014-02-13,34,1,0,1,0,134000,0.125,0.3333333333333333,Tua
548,548,9671,1968,S1,Menikah,19514000.0,1,1,2014-01-26,47,14000,3000,21000,2000,1000,28000,4,3,1,2,8,1,0,0,0,0,0,3,11,1,2014-03-14,46,1,0,2,1,69000,0.4,0.2727272727272727,Tua
549,549,2256,1973,S2,Menikah,27159000.0,1,1,2014-03-29,33,17000,0,3000,0,0,1000,2,1,0,3,6,0,0,0,0,0,0,3,11,0,2014-05-01,41,1,0,2,0,21000,0.3333333333333333,0.14285714285714285,Tua
550,550,4279,1963,D3,Lajang,39548000.0,1,1,2014-03-31,87,15000,4000,10000,3000,4000,18000,2,1,1,3,3,0,0,0,0,0,0,3,11,0,2014-06-26,51,0,0,2,0,54000,0.2857142857142857,0.25,Tua
551,551,5371,1989,S1,Lajang,21474000.0,1,0,2014-04-08,0,6000,16000,24000,11000,0,34000,2,3,1,2,7,1,0,0,0,0,0,3,11,1,2014-04-08,25,0,0,1,1,91000,0.25,0.3,Muda
552,552,9240,1971,S3,Lajang,60504000.0,0,1,2014-02-07,73,458000,0,24000,6000,4000,34000,2,6,2,8,6,0,0,0,0,0,0,3,11,0,2014-04-21,43,0,0,1,0,526000,0.1111111111111111,0.5,Tua
553,553,9460,1963,S1,Menikah,22419000.0,0,0,2013-04-18,74,30000,3000,47000,19000,21000,42000,1,3,2,2,8,0,0,0,0,0,0,3,11,0,2013-07-01,51,1,0,0,0,162000,0.125,0.2727272727272727,Tua
554,554,9504,1949,S2,Menikah,81698000.0,0,0,2013-11-06,4,179000,28000,520000,111000,123000,47000,1,3,8,13,1,0,0,0,0,0,0,3,11,1,2013-11-10,65,1,0,0,0,1008000,0.04,0.75,Lansia
555,555,8692,1952,S1,Bertunangan,43462000.0,1,1,2012-09-12,50,90000,17000,97000,15000,6000,15000,6,4,1,5,8,0,0,0,0,0,0,3,11,0,2012-11-01,62,1,0,2,0,240000,0.375,0.3333333333333333,Lansia
556,556,448,1978,S3,Lajang,54880000.0,1,0,2013-03-01,57,308000,85000,137000,102000,45000,118000,2,6,2,11,5,0,0,0,0,0,0,3,11,0,2013-04-27,36,0,0,1,0,795000,0.09523809523809523,0.5454545454545454,Tua
557,557,8314,1982,S1,Menikah,79908000.0,0,0,2013-04-05,30,557000,129000,761000,29000,185000,111000,1,5,6,7,2,0,0,1,0,0,0,3,11,0,2013-05-05,32,1,0,0,1,1772000,0.05263157894736842,0.7142857142857143,Tua
558,558,8420,1970,D3,Menikah,15315000.0,0,0,2013-08-03,27,7000,4000,13000,15000,8000,17000,2,2,0,4,5,0,0,0,0,0,0,3,11,0,2013-08-30,44,1,0,0,0,64000,0.25,0.2857142857142857,Tua
559,559,3174,1959,S1,Bertunangan,87771000.0,0,1,2013-05-22,61,1492000,38000,287000,50000,57000,33000,1,5,10,4,6,0,1,1,1,1,0,3,11,1,2013-07-22,55,1,0,1,4,1957000,0.05,0.45454545454545453,Tua
560,560,7685,1978,S1,Menikah,33039000.0,1,0,2013-09-09,4,30000,8000,12000,8000,8000,12000,1,2,0,4,5,0,0,0,0,0,0,3,11,0,2013-09-13,36,1,0,1,0,78000,0.14285714285714285,0.2857142857142857,Tua
561,561,3179,1980,S1,Lajang,81741000.0,0,0,2013-06-16,75,249000,153000,940000,58000,134000,38000,0,6,6,7,2,0,0,0,0,0,0,3,11,0,2013-08-30,34,0,0,0,0,1572000,0.0,0.75,Tua
562,562,9780,1971,S2,Bertunangan,71499000.0,0,1,2013-06-25,12,465000,25000,132000,136000,0,37000,2,8,3,13,4,0,0,0,0,0,0,3,11,0,2013-07-07,43,1,0,1,0,795000,0.07692307692307693,0.6666666666666666,Tua
563,563,10681,1970,D3,Menikah,62466000.0,0,1,2014-01-15,13,129000,129000,259000,168000,121000,83000,5,6,3,12,4,0,0,0,0,0,0,3,11,0,2014-01-28,44,1,0,1,0,889000,0.19230769230769232,0.6,Tua
564,564,10232,1963,S3,Cerai,48799000.0,0,1,2013-11-05,9,174000,18000,81000,28000,6000,24000,3,3,2,7,3,0,0,0,0,0,0,3,11,0,2013-11-14,51,0,0,1,0,331000,0.2,0.5,Tua
565,565,4184,1950,S3,Bertunangan,52157000.0,0,1,2014-06-07,48,189000,2000,29000,3000,2000,40000,2,3,2,5,4,0,0,0,0,0,0,3,11,0,2014-07-25,64,1,0,1,0,265000,0.16666666666666666,0.42857142857142855,Lansia
566,566,9120,1962,S1,Lajang,66565000.0,0,1,2012-12-05,80,747000,10000,161000,65000,40000,42000,4,4,2,9,8,0,0,0,0,0,0,3,11,0,2013-02-23,52,0,0,1,0,1065000,0.21052631578947367,0.3333333333333333,Tua
567,567,891,1951,S2,Bertunangan,29298000.0,1,1,2013-09-07,60,6000,0,2000,2000,0,1000,1,1,0,2,5,0,0,0,0,0,0,3,11,0,2013-11-06,63,1,0,2,0,11000,0.25,0.16666666666666666,Lansia
568,568,10381,1979,S1,Lajang,47691000.0,0,1,2013-07-05,43,14000,0,3000,0,0,4000,1,1,0,2,6,0,0,0,0,0,0,3,11,0,2013-08-17,35,0,0,1,0,21000,0.25,0.14285714285714285,Tua
569,569,3525,1970,S1,Bertunangan,38200000.0,1,1,2012-12-07,19,12000,0,4000,0,0,1000,1,1,0,2,7,0,0,0,0,0,0,3,11,0,2012-12-26,44,1,0,2,0,17000,0.25,0.125,Tua
570,570,6818,1974,S1,Menikah,44989000.0,0,1,2012-09-12,26,98000,0,106000,49000,10000,106000,5,5,1,5,6,0,0,0,0,0,0,3,11,0,2012-10-08,40,1,0,1,0,369000,0.3125,0.45454545454545453,Tua
571,571,3526,1968,S3,Menikah,38443000.0,1,1,2014-01-27,58,32000,0,5000,0,0,1000,2,1,0,3,7,0,0,0,0,0,0,3,11,0,2014-03-26,46,1,0,2,0,38000,0.3333333333333333,0.125,Tua
572,572,8181,1978,D3,Lajang,38593000.0,1,0,2013-09-13,42,51000,12000,49000,17000,24000,24000,3,4,1,3,8,0,0,0,0,0,0,3,11,0,2013-10-25,36,0,0,1,0,177000,0.2727272727272727,0.3333333333333333,Tua
573,573,1029,1970,S3,Bertunangan,64413000.0,0,1,2013-08-01,27,200000,5000,44000,0,10000,20000,1,5,1,5,5,0,0,0,0,0,0,3,11,0,2013-08-28,44,1,0,1,0,279000,0.08333333333333333,0.5,Tua
574,574,7369,1981,S2,Menikah,36959000.0,1,0,2013-10-02,56,25000,6000,25000,6000,0,0,2,2,0,3,8,0,0,0,0,0,0,3,11,0,2013-11-27,33,1,0,1,0,62000,0.2857142857142857,0.2,Tua
575,575,2574,1977,S3,Menikah,61996000.0,0,1,2013-01-31,27,1050000,12000,144000,0,0,24000,3,6,4,8,5,0,1,0,1,1,0,3,11,1,2013-02-27,37,1,0,1,3,1230000,0.14285714285714285,0.5454545454545454,Tua
576,576,8159,1968,S1,Menikah,51287000.0,1,1,2014-04-01,10,117000,0,22000,13000,0,30000,3,4,1,3,7,0,0,0,0,0,0,3,11,0,2014-04-11,46,1,0,2,0,182000,0.2727272727272727,0.36363636363636365,Tua
577,577,1160,1970,S1,Menikah,13260000.0,1,1,2013-08-23,48,9000,4000,17000,10000,2000,7000,4,3,0,3,8,0,0,0,0,0,0,3,11,0,2013-10-10,44,1,0,2,0,49000,0.4,0.2727272727272727,Tua
578,578,10242,1966,S3,Bertunangan,47472000.0,1,1,2013-09-16,39,56000,0,11000,0,0,8000,2,2,0,4,5,0,0,0,0,0,0,3,11,0,2013-10-25,48,1,0,2,0,75000,0.25,0.2857142857142857,Tua
579,579,5253,1956,S2,Bertunangan,54603000.0,1,1,2013-07-09,85,145000,13000,46000,17000,2000,4000,6,4,2,4,7,0,0,0,0,0,0,3,11,0,2013-10-02,58,1,0,2,0,227000,0.375,0.36363636363636365,Lansia
580,580,5966,1974,S3,Menikah,45207000.0,1,1,2012-11-10,64,203000,0,10000,0,0,2000,5,3,1,6,6,0,1,0,0,0,0,3,11,0,2013-01-13,40,1,0,2,1,215000,0.3333333333333333,0.3333333333333333,Tua
581,581,5314,1951,S1,Bertunangan,40689000.0,0,1,2013-03-18,69,270000,3000,27000,39000,6000,99000,7,7,1,5,8,0,0,0,0,0,0,3,11,0,2013-05-26,63,1,0,1,0,444000,0.35,0.4666666666666667,Lansia
582,582,5081,1967,D3,Bertunangan,47821000.0,1,1,2013-10-20,54,9000,0,16000,6000,6000,10000,1,1,0,3,8,0,0,0,0,0,0,3,11,0,2013-12-13,47,1,0,2,0,47000,0.2,0.1111111111111111,Tua
583,583,5123,1951,S2,Menikah,27450000.0,0,0,2013-04-15,57,37000,12000,23000,8000,11000,52000,1,2,1,3,7,0,0,0,0,0,0,3,11,0,2013-06-11,63,1,0,0,0,143000,0.14285714285714285,0.2222222222222222,Lansia
584,584,5756,1983,S1,Bertunangan,39453000.0,1,0,2014-04-03,64,46000,0,7000,0,0,2000,2,2,0,3,6,0,0,0,0,0,0,3,11,0,2014-06-06,31,1,0,1,0,55000,0.2857142857142857,0.25,Tua
585,585,8036,1971,D3,Bertunangan,26850000.0,1,1,2014-04-18,10,31000,1000,13000,7000,2000,9000,4,2,1,4,4,0,0,0,0,0,0,3,11,0,2014-04-28,43,1,0,2,0,63000,0.36363636363636365,0.3333333333333333,Tua
586,586,9058,1955,S1,Janda,79800000.0,0,0,2012-09-23,65,1060000,21000,530000,32000,0,224000,1,5,11,5,3,1,0,1,1,0,0,3,11,1,2012-11-27,59,0,0,0,3,1867000,0.045454545454545456,0.625,Lansia
587,587,5057,1961,S2,Menikah,61794000.0,0,1,2013-09-14,74,264000,47000,188000,54000,47000,11000,2,4,4,10,2,0,0,0,0,0,0,3,11,0,2013-11-27,53,1,0,1,0,611000,0.1,0.6666666666666666,Tua
588,588,254,1955,S1,Bertunangan,53863000.0,0,1,2014-05-17,4,399000,4000,30000,6000,4000,30000,3,7,1,7,7,0,1,0,0,0,0,3,11,0,2014-05-21,59,1,0,1,1,473000,0.16666666666666666,0.5,Lansia
589,589,4179,1959,S1,Bertunangan,24221000.0,0,0,2013-08-20,94,8000,9000,9000,2000,5000,22000,1,1,1,3,4,0,0,0,0,0,0,3,11,0,2013-11-22,55,1,0,0,0,55000,0.16666666666666666,0.2,Tua
590,590,3710,1984,S3,Lajang,39684000.0,1,0,2012-10-12,41,19000,0,35000,6000,4000,17000,2,2,1,2,7,0,0,0,0,0,1,3,11,1,2012-11-22,30,0,0,1,0,81000,0.2857142857142857,0.2222222222222222,Muda
591,591,7627,1975,S2,Menikah,92163000.0,0,0,2012-12-12,25,817000,183000,797000,106000,163000,20000,0,5,11,5,2,0,0,1,1,0,0,3,11,1,2013-01-06,39,1,0,0,2,2086000,0.0,0.7142857142857143,Tua
592,592,4501,1965,S2,Lajang,69882000.0,0,0,2013-11-10,94,292000,127000,635000,132000,127000,165000,1,3,7,9,1,0,0,0,0,0,0,3,11,0,2014-02-12,49,0,0,0,0,1478000,0.05,0.75,Tua
593,593,6424,1977,S1,Bertunangan,33178000.0,1,0,2014-01-30,9,12000,6000,2000,11000,2000,16000,1,1,0,3,4,0,0,0,0,0,0,3,11,0,2014-02-08,37,1,0,1,0,49000,0.2,0.2,Tua
594,594,3075,1972,S3,Menikah,59973000.0,0,0,2013-09-11,47,130000,30000,168000,20000,34000,0,1,3,4,7,1,0,0,0,0,0,0,3,11,0,2013-10-28,42,1,0,0,0,382000,0.06666666666666667,0.75,Tua
595,595,4992,1975,S2,Bertunangan,17459000.0,1,0,2013-09-19,12,6000,4000,16000,3000,10000,30000,3,3,1,2,7,0,0,0,0,0,0,3,11,1,2013-10-01,39,1,0,1,0,69000,0.3333333333333333,0.3,Tua
596,596,5252,1969,S1,Cerai,23910000.0,1,0,2012-10-26,80,16000,12000,18000,7000,1000,13000,1,2,0,3,7,0,0,0,0,0,0,3,11,0,2013-01-14,45,0,0,1,0,67000,0.16666666666666666,0.2222222222222222,Tua
597,597,7444,1969,S2,Menikah,42169000.0,1,1,2013-10-19,20,19000,0,9000,0,0,2000,2,1,0,3,8,0,0,0,0,0,0,3,11,0,2013-11-08,45,1,0,2,0,30000,0.3333333333333333,0.1111111111111111,Tua
598,598,6919,1978,D3,Menikah,26224000.0,1,0,2013-06-04,39,4000,7000,15000,13000,9000,15000,3,2,1,3,6,0,0,0,0,0,0,3,11,0,2013-07-13,36,1,0,1,0,63000,0.3333333333333333,0.25,Tua
599,599,3537,1981,S1,Bertunangan,31089000.0,1,0,2012-08-17,57,31000,3000,31000,2000,8000,4000,3,3,0,4,8,0,0,0,0,0,0,3,11,0,2012-10-13,33,1,0,1,0,79000,0.3,0.2727272727272727,Tua
600,600,10277,1961,S1,Lajang,30081000.0,0,1,2013-02-21,27,36000,0,2000,0,0,4000,1,1,0,3,7,0,0,0,0,0,0,3,11,0,2013-03-20,53,0,0,1,0,42000,0.2,0.125,Tua
601,601,2453,1960,S1,Bertunangan,62807000.0,0,1,2012-08-31,83,526000,28000,135000,10000,21000,99000,3,5,3,12,5,0,0,0,0,0,0,3,11,0,2012-11-22,54,1,0,1,0,819000,0.13043478260869565,0.5,Tua
602,602,7972,1955,S1,Lajang,72906000.0,0,0,2013-09-17,79,400000,32000,519000,71000,75000,54000,1,3,4,9,1,0,0,0,0,0,0,3,11,0,2013-12-05,59,0,0,0,0,1151000,0.058823529411764705,0.75,Lansia
603,603,895,1948,S3,Menikah,61467000.0,0,2,2012-12-09,69,410000,16000,114000,0,5000,49000,3,5,2,10,5,0,0,0,0,0,0,3,11,0,2013-02-16,66,1,0,2,0,594000,0.15,0.5,Lansia
604,604,1177,1966,S2,Bertunangan,49618000.0,1,1,2013-01-26,77,80000,3000,26000,4000,2000,14000,4,3,1,3,7,0,0,0,0,0,0,3,11,0,2013-04-13,48,1,0,2,0,129000,0.36363636363636365,0.3,Tua
605,605,7141,1986,S2,Lajang,21888000.0,1,0,2012-12-29,15,88000,10000,46000,2000,3000,64000,4,5,1,2,10,0,0,0,0,0,0,3,11,1,2013-01-13,28,0,0,1,0,213000,0.3333333333333333,0.3333333333333333,Muda
606,606,7232,1973,S1,Janda,42429000.0,0,1,2014-02-11,99,55000,0,6000,2000,0,4000,2,1,1,3,5,0,0,0,0,0,0,3,11,0,2014-05-21,41,0,0,1,0,67000,0.2857142857142857,0.16666666666666666,Tua
607,607,8477,1956,S1,Cerai,26150000.0,2,1,2013-03-11,61,5000,1000,13000,3000,5000,1000,1,1,0,3,7,0,0,0,0,0,0,3,11,0,2013-05-11,58,0,0,3,0,28000,0.2,0.125,Lansia
608,608,2457,1975,SMA,Menikah,30801000.0,0,1,2012-10-26,23,8000,4000,5000,15000,2000,11000,2,1,0,3,7,0,0,0,0,0,0,3,11,0,2012-11-18,39,1,1,1,0,45000,0.3333333333333333,0.125,Tua
609,609,988,1965,S1,Menikah,81168000.0,0,0,2014-05-07,84,410000,0,592000,147000,22000,22000,1,6,4,7,3,0,0,0,1,0,0,3,11,0,2014-07-30,49,1,0,0,1,1193000,0.05555555555555555,0.6666666666666666,Tua
610,610,7930,1969,S2,Lajang,26877000.0,0,0,2013-08-19,74,101000,13000,76000,20000,18000,40000,2,3,1,6,6,0,0,0,0,0,0,3,11,0,2013-11-01,45,0,0,0,0,268000,0.16666666666666666,0.3333333333333333,Tua
611,611,4587,1944,S2,Janda,45006000.0,0,0,2013-07-18,90,162000,25000,53000,16000,0,10000,1,3,1,7,3,0,0,0,0,0,0,3,11,0,2013-10-16,70,0,0,0,0,266000,0.08333333333333333,0.5,Lansia
612,612,6682,1973,SMA,Menikah,18978000.0,1,0,2012-12-11,41,2000,8000,1000,4000,7000,15000,1,1,0,3,8,0,0,0,0,0,0,3,11,0,2013-01-21,41,1,1,1,0,37000,0.2,0.1111111111111111,Tua
